コマンド名,引数,引数種別定数,コマンド定数,内容
_,数値,NUM,TRANSPOSE,移調？
:,,NOOPT,REPEAT_ESCAPE,リピート脱出
(,数値,NUM,VOLUME_DOWN,音量ダウン
),数値,NUM,VOLUME_UP,音量アップ
[,,NOOPT,REPEAT_START,リピート開始
],[数値],NUMOPT,REPEAT_END,リピート終了
@,文字列,NAME,SET_TONE,音色
@P,“名前”,QUOTE_NAME,SET_PATCH,パッチ？
@P*,,NOOPT,SET_PATCH_OFF,パッチ解除？
&,,NOOPT,SLUR,スラー
^,[音長],NOTE_LENGTH,ADD_NOTE_LENGTH,音長加算
<,,NOOPT,OCTAVE_DOWN,オクターブ変更
>,,NOOPT,OCTAVE_UP,オクターブ変更
~,音長,NOTE_LENGTH,SUB_NOTE_LENGTH,音長減算
D,数値,NUM,SET_DETUNE,デチューン
EC,"数値,数値,数値,数値",NUM4,SET_ECHO,疑似エコー
EC*,,NOOPT,SET_ECHO_OFF,疑似エコー停止
J*,,NOOPT,SET_J_MARK,不明
KM,,NOOPT,SET_KM,不明
l,音長,NOTE_LENGTH,SET_DEFAULT_LENGTH,デフォルト音長
L,,NOOPT,LOOP,ループ記号
MA,"数値,数値,数値",NUM3,SET_VOLUME_LFO,音量LFO？
MA*,,NOOPT,SET_VOLUME_LFO_OFF,音量LFO停止?
MAD,数値,NUM,SET_MAD,不明
MD,数値,NUM,SET_MD,不明
MP,"数値,数値,数値",NUM3,SET_PITCH_LFO,音程LFO？
MP*,,NOOPT,SET_PITCH_LFO_OFF,音程LFO停止？
MPD,数値,NUM,SET_MPD,不明
o,数値,NUM,SET_OCTAVE,オクターブ
P,音長,NOTE_LENGTH,SET_P,ポルタメント？
p,数値,NUM,SET_SMALL_P,不明
P*,,NOOPT,SET_P_OFF,ポルタメント停止？
q,数値,NUM,SET_Q,クオンタイズ？（スタッカート？）
r,音長,NOTE_LENGTH,REST,休符
t,数値,NUM,SET_TEMPO,テンポ指定
T,数値,NUM,SET_T,不明
TD,数値,NUM,SET_TD,トーンダブラ？
TR,"数値[,数値,...]",TRACK_NUM,TRACK,トラック記号
v,数値,NUM,SET_VOLUME,音量
vr,数値,NUM,SET_VOLUME_RELEASE,リリース音量？
x,,NOTE_LENGTH,PAST_NOTE,前の音？
,音長,NOTE_LENGTH,NOTE,音符
,,NOOPT,TRACK_END,トラック終端
